"filename", "language", "JavaScript", "Markdown", "SCSS", "TypeScript", "JSON", "XML", "CSS", "vue", "HTML", "JSON with Comments", "comment", "blank", "total"
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\msg-audio.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\msg-copy.svg", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\msg-del.svg", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\msg-forward.svg", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\msg-quote.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\msg-revoke.svg", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\multiple-select.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\mute.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\plus.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\radio.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\right-arrow.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\right-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\rotate-left.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
